Gender,Sports,Music,Video Games,Red LED - Average (in ms),Red LED - Standard Deviation (in ms),Red LED - The number of trials (like 100),Buzzer - Average (in ms),Buzzer - Standard Deviation (in ms),Buzzer - The number of trials,2 color LED - Average (in ms),2 color LED - Standard Deviation (in ms),2 color LED - The number of trials,3 color LED - Average (in ms),3 color LED - Standard Deviation (in ms),3 color LED - The number of trials
2,1,1,0,193.286,31.726,119,171.99,33.914,104,452.486,129.305,109,477.811,119.753,161
1,4,2,0,231.9,62.8,54,182.1,61.3,52,366.5,84.9,111,476.4,121.2,104
2,1,3,0,219.409,48.748,110,210.05,91.316,100,362.4375,74.88,112,478.08,179.9885,86
1,3,1,0,192,43,100,176,57,100,426,123,100,542,142,100
1,2,1,0,162.45,39.533,150,222.92,18.072,100,308.61,82.84,150,359.98,107.989,200
1,3,1,0,234,41.6,50,197,59.4,50,387,173.9,100,566,166.8,100
2,3,1,0,213.455,58.062,143,184.565,65.986,205,381.63,125.51,100,460.66,106.03,100
1,2,1,0,269,156,67,212,96,67,398,127,101,468,144,101
1,3,2,4,200.36,34.86,130,176.59,24.06,111,320.39,75.55,182,411.09,100.22,181
1,5,1,0,292.4,255.8,101,254.6,219.6,101,387.2,136.5,110,570.7,232.1,110
2,1,3,0,175.974,35.58,500,143.198,32.09,500,335.07,95.55,500,429.664,111.43,500
1,3,2,0,166.86,44.15,133,158.1,27.8,133,378.87,142.63,129,490.73,187.45,138
1,4,5,0,221,40.5,101,193,38.1,110,333.3,90.06,100,510.3,189.1,100
2,1,1,0,208,50,114,163,43,100,419,130,114,584,147,114
1,4,1,0,282,85,100,193,61,50,450,137,100,558,171,100
1,5,2,0,202,32.1,102,164,39.5,102,325,71.8,101,441,106,101
1,1,3,0,253,75,103,221,59,112,376,123,116,489,191,118
1,4,4,0,238,65,140,247,70,109,554,180,117,663,153,117
2,1,4,0,214,30,150,177,20,130,320,80,120,393,80,170
2,1,3,0,187.82,34.99,80,177.71,53.42,80,450.78,109.17,100,507.92,121.31,100
2,3,3,0,198.5,44.4,104,196.7,70.6,92,339.95,112.7,110,549.34,236.7,100
2,2,5,0,219.539,32.154,102,179.018,87.589,114,356.908,84.174,401,417.44,88.659,457
2,5,3,0,205.56,43.19,236,196.44,57.34,220,320.98,96.84,268,439.14,144.24,311
2,1,1,0,220,56,89,212,64,94,421,117,103,531,151,132
1,1,4,0,218,53,50,165,80,73,601,364,113,731,317,141
1,5,3,0,181.33,22.35,30,175.74,27.45,30,394.57,147.16,100,474.8,189.06,100
1,2,5,0,192.5090909,25.19081559,56,155.4909091,28.64952656,56,315,70,115,462,147.7,115
2,1,3,0,213.78,54.46,100,191.2,35.24,100,554.81,170.43,100,761.04,420.75,100
